abolish v. C1 | kaldırmak, yürürlükten kaldırmak
apparatus n. C1 | aygıt, cihaz
apparel n. C1 | giyim, elbise
appealing adj. C1 | çekici, cazip
appetite n. C1 | iştah, arzu
applaud v. C1 | alkışlamak
applicable adj. C1 | uygulanabilir
applicant n. B2 | başvuran, aday
appoint v. C1 | atamak, tayin etmek
appreciation n. C1 | takdir, değer
appropriately adv. B2 | uygun bir şekilde
arbitrary adj. C1 | keyfi, rastgele
architectural adj. C1 | mimari
archive n. C1 | arşiv
arena n. C1 | alan, saha
arm v. C1 | kol, silahlandırmak
array n. C1 | dizi, sıra
arrow n. B2 | ok, ok işareti
articulate v. C1 | açık bir şekilde ifade etmek
artwork n. B2 | sanat eseri
ash n. C1 | kül
aspiration n. C1 | özlem, arzu
aspire v. C1 | arzu etmek, özlemek
assassination n. C1 | suikast, cinayet
assault n., v. C1 | saldırı, saldırmak
assemble v. C1 | bir araya getirmek, monte etmek
assembly n. C1 | montaj, meclis
assert v. C1 | iddia etmek, ileri sürmek
assertion n. C1 | iddia, sav
asset n. B2 | varlık, mal varlığı
assign v. B2 | atamak, görevlendirmek
assistance n. B2 | yardım, destek
assumption n. B2 | varsayım, faraziye
assurance n. C1 | güvence, teminat
assure v. B2 | temin etmek, garanti etmek
astonishing adj. B2 | şaşırtıcı, hayret verici
asylum n. C1 | sığınak, azap
athletic adj. B2 | atletik, sporcu
atrocity n. C1 | vahşet, gaddarlık
attachment n. B2 | ek, bağlantı
attain v. C1 | ulaşmak, elde etmek
attendance n. C1 | katılım, devam
attribute v., n. C1 | atfetmek, özellik, nitelik
auction n. C1 | açık artırma
audio adj. B2 | ses, sesli
audit n. C1 | denetim, mali inceleme
authentic adj. C1 | gerçek, otantik
authorize v. C1 | yetkilendirmek, izin vermek
auto n. C1 | otomobil
autonomy n. C1 | özerklik, bağımsızlık
autumn n. C1 | sonbahar
availability n. C1 | mevcudiyet, erişilebilirlik
await v. C1 | beklemek, gözlemek
awareness n. B2 | farkındalık, bilinç
awkward adj. B2 | garip, beceriksiz
backdrop n. C1 | dekor, arka plan
backing n. C1 | destek, arkadaşlık
backup n. C1 | yedek, destek
badge n. B2 | rozet, kimlik
bail n. C1 | kefalet, teminat
balanced adj. B2 | dengeli
ballet n. B2 | bale
balloon n. B2 | balon
ballot n. C1 | oy pusulası
bankruptcy n. C1 | iflas
banner n. C1 | pankart, bayrak
bare adj. C1 | çıplak, yalın
barely adv. B2 | zar zor, neredeyse hiç
bargain n. B2 | pazarlık, anlaşma
barrel n. C1 | varil, fıçı
basement n. B2 | bodrum kat
basket n. B2 | sepet, basketbol
bass1 n. C1 | bas (müzik terimi)
bat n. B2, v. C1 | yarasa, beyzbol sopası, vuruşmak
battlefield n. C1 | savaş alanı
bay n. C1 | körfez, koy
beam n. C1 | ışın, kiriş
beast n. C1 | yaratık, canavar
behalf n. C1 | adına, namına
behavioral adj. C1 | davranışsal
beloved adj. C1 | sevgili, sevilen
bench n. C1 | tezgah, bank
benchmark n. C1 | ölçüt, referans
beneath prep. C1 | altında, alt
beneficial adj. B2 | faydalı, yararlı
beneficiary n. C1 | hak sahibi, lehtar
beside prep. B2 | yanında
besides prep., adv. B2 | dışında, ayrıca
betray v. C1 | ihanet etmek, ele vermek
beverage n. C1 | içecek, içki
bias n. B2 | önyargı, eğilim
bid n., v. B2 | teklif, teklif vermek
bind v. C1 | bağlamak, sarmak
biography n. C1 | biyografi
biological adj. B2 | biyolojik
bishop n. C1 | piskopos
bizarre adj. C1 | tuhaf, garip
blade n. C1 | bıçak, kesici
blanket n. B2 | battaniye, örtü
blast n., v. C1 | patlama, patlatmak
bleed v. C1 | kanamak, kan vermek
blend v., n. C1 | karıştırmak, karışım
bless v. C1 | kutsamak
blessing n. C1 | kutsama
blow n. B2 | darbe, üfleme
boast v. C1 | böbürlenmek, övünmek
bold adj. B2 | cesur, korkusuz
bombing n. B2 | bombalama, hava saldırısı
bonus n. C1 | bonus, ikramiye
booking n. C1 | rezervasyon, kayıt
boom n. C1 | patlama, yükseliş
boost v., n. B2 | artırmak, desteklemek, artış
bounce v. C1 | sıçramak, sekmek
bound adj. B2 | bağlı, sınırlı
boundary n. C1 | sınır, hudut
bow1 v., n. C1 | eğilmek, yay
breach n., v. C1 | ihlal, bozmak
breakdown n. C1 | arıza, çözüm
breakthrough n. C1 | çığır açan, ilerleme
breed v., n. C1 | üretmek, cins
brick n. B2 | tuğla
briefly adv. B2 | kısaca, özetle
broadband n. C1 | geniş bant
broadcaster n. B2 | yayıncı
broadly adv. B2 | genel anlamda, geniş çerçevede
browser n. C1 | tarayıcı
brutal adj. C1 | vahşi, zalim
buck n. B2 | boğa, dolar
buddy n. C1 | dost, arkadaş
buffer n. C1 | tampon, ara bellek
bug n. B2 | böcek, hata
bulk n. C1 | toptan, büyük miktar
burden n. C1 | yük, sorumluluk
bureaucracy n. C1 | bürokrasi
burial n. C1 | gömme, cenaze
burst v. C1 | patlamak, patlak
cabin n. B2 | Kabin, Kulübe
cabinet n. C1 | Kabin, Bakanlar Kurulu, Dolap
calculation n. C1 | Hesaplama, Tahmin
canal n. B2 | Kanal
candle n. B2 | Mum
canvas n. C1 | Tuval
capability n. C1 | Yetenek, Kapasite
capitalism n. C1 | Kapitalizm
capitalist adj. C1 | Kapitalist
carbon n. B2 | Karbon
cargo n. C1 | Kargo, Yük
carriage n. C1 | Taşıma, Araba
carve v. C1 | Oymak, Heykel Yapmak
casino n. C1 | Kumarhane
castle n. B2 | Şato, Kale
casual adj. B2 | Gündelik, Sıradan
casualty n. C1 | Kaza, Yaralı
catalog n. C1 | Katalog, Liste
cater v. C1 | Yemek Hizmeti Vermek
cattle n. C1 | Sığır, Büyükbaş Hayvan
caution n. C1 | Dikkat, İhtiyat
cautious adj. C1 | Dikkatli, İhtiyatlı
cave n. B2 | Mağara
cease v. C1 | Durdurmak, Sonlandırmak
cemetery n. C1 | Mezarlık, Mezar Yeri
certainty n. B2 | Kesinlik, Güvence
certificate n. B2 | Sertifika, Belge
challenging adj. B2 | Zorlayıcı, Mücadeleci
chamber n. C1 | Oda, Bölme
championship n. B2 | Şampiyonluk
chaos n. C1 | Kaos, Karışıklık
characterize v. C1 | Tanımlamak, Nitelendirmek
charm n. C1 | Cazibe, Büyü
charming adj. B2 | Cazibeli, Büyüleyici
charter n. C1 | Sözleşme, Kira Belgesi
chase v., n. B2 | Kovalamak, Takip
cheek n. B2 | Yanak
cheer v., n. B2 | Tezahürat Etmek, Neşe
choir n. C1 | Koro
chop v. B2 | Doğramak, Kesmek
chronic adj. C1 | Kronik, Sürekli
chunk n. C1 | Parça, Yığın
circuit n. B2 | Devre, Dolaşım
circulate v. C1 | Dolaşmak, Yaymak
circulation n. C1 | Dolaşım, Yayılma
citizenship n. C1 | Vatandaşlık
civic adj. C1 | Şehirsel, Belediyeyle İlgili
civilian n., adj. C1 | Sivil, Sivil Kişi
civilization n. B2 | Medeniyet, Uygarlık
clarify v. B2 | Açıklamak, Netleştirmek
clarity n. C1 | Netlik, Açıklık
clash n. C1 | Çatışma, Anlaşmazlık
classification n. C1 | Sınıflandırma, Kategorizasyon
classify v. B2 | Sınıflandırmak, Kategorize Etmek
cliff n. B2 | Uçurum, Tepe
cling v. C1 | Sıkıca Tutunmak, Yapışmak
clinic n. B2 | Klinik, Poliklinik
clinical adj. C1 | Klinik, Kliniksel
clip n. B2 | Klips, Toka
closure n. C1 | Kapanış, Kapatma
cluster n. C1 | Küme, Grup
coalition n. C1 | Koalisyon, İttifak
coastal adj. C1 | Kıyısal, Deniz Kenarı
cocktail n. C1 | Kokteyl, Karışık İçki
cognitive adj. C1 | Bilişsel, Kavramsal
coincide v. C1 | Tesadüf Etmek, Aynı Zamana Denk Gelme
coincidence n. B2 | Tesadüf, Rastlantı
collaborate v. C1 | İşbirliği Yapmak, Ortak Çalışmak
collaboration n. C1 | İşbirliği, Ortak Çalışma
collective adj. C1 | Kolektif, Toplu
collector n. B2 | Koleksiyoncu, Toplayıcı
collision n. C1 | Çarpışma, Kaza
colonial adj. C1 | Sömürgeci, Koloniyel
colony n. B2 | Koloni, Sömürgenin Toprakları
colorful adj. B2 | Renkli, Canlı
columnist n. C1 | Köşe Yazarı, Sütun Yazarı
combat n., v. C1 | Savaş, Savaşmak
comic adj., n. B2 | Komik, Karikatür
commander n. B2 | Komutan, Lider
commence v. C1 | Başlamak, İşe Koyulmak
commentary n. C1 | Yorum, Açıklama
commentator n. C1 | Yorumcu, Spiker
commerce n. C1 | Ticaret, Ticari Faaliyet
commissioner n. C1 | Komisyoncu, Yetkili
commodity n. C1 | Mal, Eşya
communist adj. C1 | Komünist, Marksist
companion n. C1 | Dost, Refakatçi
comparable adj. C1 | Karşılaştırılabilir, Mukayese Edilebilir
comparative adj. B2 | Karşılaştırmalı, Mukayeseyle İlgili
compassion n. C1 | Şefkat, Merhamet
compel v. C1 | Zorlamak, Mecbur Bırakmak
compelling adj. C1 | İnanılır, Etkileyici
compensate v. C1 | Tazminat Ödemek, Telafi Etmek
compensation n. C1 | Tazminat, Telafi
competence n. C1 | Yetenek, Yeterlilik
competent adj. C1 | Yetenekli, Yeterli
compile v. C1 | Derlemek, Toplamak
complement v. C1 | Tamamlamak, Bütünlemek
completion n. B2 | Tamamlama, Bitirme
complexity n. C1 | Karmaşıklık, Komplekslik
compliance n. C1 | Uyum, Uygunluk
complication n. C1 | Karmaşıklık, Komplikasyon
comply v. C1 | Uymak, Boyun Eğmek
compose v. B2 | Bestelemek, Oluşturmak
composer n. B2 | Besteci, Yazar
composition n. C1 | Besteleme, Kompozisyon
compound n. B2 | Bileşik, Karışım
comprehensive adj. B2 | Kapsamlı, Ayrıntılı
comprise v. B2 | İçermek, Oluşturmak
compromise n., v. C1 | Uzlaşma, Uzlaşmak
compulsory adj. B2 | Zorunlu, Mecburi
compute v. C1 | Hesaplamak, Bilgisayar İle İşlemek
conceal v. C1 | Gizlemek, Saklamak
concede v. C1 | Kabullenmek, Teslim Olmak
conceive v. C1 | Tasarlamak, Düşünmek
conception n. C1 | Kavram, Fikir
concession n. C1 | Taviz, Ödün
concrete adj., n. B2 | Beton, Somut
condemn v. C1 | Kınamak, Mahkum Etmek
confer v. C1 | Danışmak, Verme Yetkisi Vermek
confess v. B2 | İtiraf Etmek, Günah Çıkarmak
confession n. C1 | İtiraf, Günah Çıkarma
configuration n. C1 | Yapılandırma, Şekil
confine v. C1 | Sınırlamak, Hapsedilmek
confirmation n. C1 | Onay, Doğrulama
confront v. C1 | Karşı Karşıya Gelme, Yüzleşme
confrontation n. C1 | Karşılaşma, Yüzleşme
confusion n. B2 | Karışıklık, Kafa Karışıklığı
congratulate v. C1 | Tebrik Etmek, Kutlamak
congregation n. C1 | Cemaat, Topluluk
congressional adj. C1 | Kongreyle İlgili, Meclise Ait
conquer v. C1 | Fethetmek, Yenmek
conscience n. C1 | Vicdan, İçsel Duygu
consciousness n. C1 | Bilinç, Şuur
consecutive adj. C1 | Ardışık, Birbiri Ardına
consensus n. C1 | Uzlaşma, Mutabakat
consent n., v. C1 | Onay, Rıza Vermek
consequently adv. B2 | Sonuç Olarak, Bundan Dolayı
conservation n. B2 | Koruma, Doğa Koruma
conserve v. C1 | Korumak, Muhafaza Etmek
considerable adj. B2 | Önemli, Dikkate Değer
considerably adv. B2 | Önemli Derecede, Epeyce
consistency n. C1 | Tutarlılık, Uygunluk
consistently adv. B2 | Sürekli, Devamlı
consolidate v. C1 | Konsolide Etmek, Sağlamlaştırmak
conspiracy n. B2 | Komplolar, İhtiras
constitute v. C1 | Oluşturmak, Teşkil Etmek
constitution n. C1 | Anayasa, Yapı
constitutional adj. C1 | Anayasal, Temel Yasal
constraint n. C1 | Kısıtlama, Zorlama
consult v. B2 | Danışmak, Başvurmak
consultant n. B2 | Danışman, Mütalaa Eden
consultation n. C1 | Danışma, Görüşme
consumption n. B2 | Tüketim, Harcama
contemplate v. C1 | Düşünmek, Tasarlamak
contempt n. C1 | Aşağılama, Hakir Görme
contend v. C1 | İddia Etmek, Mücadele Etmek
contender n. C1 | Yarışmacı, Rekabetçi
content2 adj. C1 | İçerik, Memnun
contention n. C1 | İddia, Tartışma
continually adv. C1 | Sürekli, Devamlı
contractor n. C1 | Müteahhit, Yüklenici
contradiction n. C1 | Çelişki, Karşıtlık
contrary adj., n. C1 | Karşıt, Ters
contributor n. C1 | Katkıda Bulunan, Katkı Sağlayan
controversial adj. B2 | Tartışmalı, Anlaşmazlığa Yol Açan
controversy n. B2 | Tartışma, Anlaşmazlık
convenience n. B2 | Kolaylık, Uygunluk
convention n. B2 | Gelenek, Toplantı
conventional adj. B2 | Geleneksel, Sıradan
conversion n. C1 | Dönüşüm, Çevirme
convey v. B2 | İletmek, Taşımak
convict v. C1 | Mahkum Etmek, Tutuklamak
conviction n. C1 | İnanç, Mahkumiyet
convincing adj. B2 | İkna Edici, İnanılır
cooperate v. C1 | İşbirliği Yapmak, Uyum Sağlamak
cooperative adj. C1 | İşbirlikçi, İşbirliği Yapan
coordinate v. C1 | Koordine Etmek, Uygun Hale Getirmek
coordination n. C1 | Koordinasyon, Uyum
coordinator n. C1 | Koordinatör, Uyum Sağlayan
cop n. B2 | Polis Memuru
cope v. B2 | Başa Çıkmak, Uğraşmak
copper n. C1 | Bakır, Maden
copyright n. C1 | Telif Hakkı, Telif
corporation n. B2 | Şirket, Kurum
correction n. C1 | Düzeltme, İyileştirme
correlate v. C1 | İlişkilendirmek, Korelasyon Göstermek
correlation n. C1 | Korelasyon, İlişki
correspond v. C1 | Yazışmak, Karşılık Vermek
correspondence n. C1 | Yazışma, Mektuplaşma
correspondent n. C1 | Muhabir, Haberci
corresponding adj. C1 | Karşılık Gelen, Uyumlu
corridor n. B2 | Koridor, Geçiş Yolu
corrupt adj. C1 | Yozlaşmış, Bozuk
corruption n. C1 | Yolsuzluk, Bozulma
costly adj. C1 | Pahalı, Masraflı
councilor n. C1 | Meclis Üyesi, Danışman
counseling n. C1 | Danışmanlık, Rehberlik
counselor n. C1 | Danışman, Rehber
counter (long flat surface) n. B2 | Tezgah, Banko
counter (argue against) v. C1 | Karşı Koymak, İtiraz Etmek
counterpart n. C1 | Karşıt, Eşdeğer
countless adj. C1 | Sayısız, Sonsuz
coup n. C1 | Darbe, Hükümet Devirme
courtesy n. C1 | Nezaket, Höşgörü
coverage n. B2 | Kapsam, Sigorta Kapsamı
cowboy n. B2 | Kovboy, Kâhya
crack v., n. B2 | Çatlamak, Çatlak
craft n. B2, v. C1 | Zanaat, El İşi | Ustalıkla Yapmak
crawl v. C1 | Sürünmek, Emeklemek
creativity n. B2 | Yaratıcılık, Yenilikçilik
creator n. C1 | Yaratıcı, Yaratıcı Kişi
credibility n. C1 | İtibar, Güvenilirlik
credible adj. C1 | İnanılır, Güvenilir
creep v. C1 | Sürünmek, Emeklemek
critically adv. B2 | Eleştirel Bir Şekilde, Kritik Olarak
critique n. C1 | Eleştiri, Tenkit
crown n. C1 | Taç, Kravat
crude adj. C1 | Ham, İşlenmemiş
cruise n., v. B2 | Turlu Gezinti, Seyir
crush v. C1 | Ezmek, Etkisiz Hale Getirmek
crystal n. C1 | Kristal, Madde
cue n. B2 | İpucu, Sinyal
cult n., adj. C1 | Kült, Sapkın
cultivate v. C1 | Yetiştirmek, Tarım Yapmak
curiosity n. C1 | Merak, İlgi
curious adj. B2 | Meraklı, Garip
curriculum n. B2 | Müfredat, Eğitim Programı
custody n. C1 | Velayet, Koruma
cute adj. B2 | Tatlı, Sevimli
cutting n. C1 | Kesim, Kesme
cynical adj. C1 | İçerlemiş, Şüpheci
dairy n., adj. B2 | Süt Ürünleri, Mandıra
dam n. C1 | Baraj, Set
damaging adj. C1 | Zarar Veren, Hasarlı
dare v. B2 | Cesaret Etmek, Cüret Etmek
darkness n. B2 | Karanlık, Zifiri Karanlık
database n. B2 | Veritabanı, Bilgi Tabanı
dawn n. C1 | Şafak, Gün Ağarması
deadline n. B2 | Son Tarih, Son Teslim Tarihi
deadly adj. B2 | Ölümcül, Büyük Tehlike Arz Eden
dealer n. B2 | Satıcı, Bayi
debris n. C1 | Enkaz, Moloz
debut n. C1 | Sahneye İlk Çıkış, Başlangıç
decision-making n. C1 | Karar Alma, Karar Verme
decisive adj. C1 | Kararlı, Kesin
deck n. B2 | Güverte, Kat
declaration n. C1 | Bildiri, Açıklama
dedicated adj. C1 | Kendini Adamış, Ayrılmış
dedication n. C1 | Fedakarlık, İhtimam
deed n. C1 | İş, Eylem
deem v. C1 | Farzetmek, Saymak
default n. C1 | Varsayılan, Temerrüt
defect n. C1 | Hata, Kusur
defender n. B2 | Savunucu, Müdafaa Eden
defensive adj. C1 | Savunma, Savunmaya Ait
deficiency n. C1 | Eksiklik, Yetersizlik
deficit n. C1 | Açık, Bütçe Açığı
defy v. C1 | Meydan Okumak, Karşı Koymak
delegate n. C1 | Temsilci, Delegasyon
delegation n. C1 | Delegasyon, Temsil Heyeti
delete v. B2 | Silmek, Kaldırmak
delicate adj. C1 | Hassas, Narin
delighted adj. B2 | Memnun, Hoşnut
democracy n. B2 | Demokrasi, Halk Egemenliği
democratic adj. B2 | Demokratik, Halka Ait
demon n. C1 | Şeytan, Cin
demonstration n. B2 | Gösteri, Protesto
denial n. C1 | Red, İnkâr
denounce v. C1 | Kınamak, İtham Etmek
dense adj. C1 | Yoğun, Sık
density n. C1 | Yoğunluk, Sıklık
depart v. B2 | Ayrılmak, Yola Çıkmak
dependence n. C1 | Bağımlılık, İhtiyaç
dependent adj. B2 | Bağımlı, Muhtaç
depict v. C1 | Tasvir Etmek, Betimlemek
deploy v. C1 | Dağıtmak, Yerleştirmek
deployment n. C1 | Dağıtma, Yerleştirme
deposit n., v. B2 | Mevduat, Yatırmak
depression n. B2 | Depresyon, Bunalım
deprive v. C1 | Mahrum Etmek, Yoksun Bırakmak
deputy n. C1 | Milletvekili, Vekil
derive v. B2 | Türetmek, Elde Etmek
descend v. C1 | İnmek, Alçalmak
descent n. C1 | Soy, Köken
designate v. C1 | Belirlemek, Atamak
desirable adj. C1 | Arzu Edilen, Tercih Edilen
desktop n. C1 | Masaüstü, Bilgisayar Masası
desperately adv. B2 | Umutsuzca, Çaresizce
destruction n. B2 | Yıkım, Tahribat
destructive adj. C1 | Yıkıcı, Zararlı
detain v. C1 | Alıkoymak, Tutuklamak
detection n. C1 | Teşhis, Tespit
detention n. C1 | Gözaltı, Hapsetme
deteriorate v. C1 | Kötüleşmek, Bozulmak
determination n. B2 | Azim, Kararlılık
devastate v. C1 | Yıkmak, Tahrip Etmek
devil n. C1 | Şeytan, İblis
devise v. C1 | Tasarlamak, Kurmak
devote v. B2 | Adamak, İhtisap Etmek
diagnose v. C1 | Teşhis Koymak, Tanılamak
diagnosis n. C1 | Teşhis, Tanı
dictate v. C1 | Diktat, Dikte Etmek
dictator n. C1 | Diktatör, Zorba
differ v. B2 | Farklı Olmak, Ayrılmak
differentiate v. C1 | Ayırt Etmek, Farklılaştırmak
dignity n. C1 | İnsanlık, Haysiyet
dilemma n. C1 | İkilem, Çıkmaz
dime n. B2 | On Cent, Para
dimension n. C1 | Boyut, Ölçü
diminish v. C1 | Azaltmak, Küçültmek
dip v. C1 | Bandırmak, Daldırmak
diplomat n. C1 | Diplomat, Büyükelçi
diplomatic n. C1 | Diplomatik, Diplomatça
directory n. C1 | Dizin, Rehber
disability n. B2 | Engellilik, Sakatlık
disabled adj. B2 | Engelli, Sakat
disagreement n. B2 | Anlaşmazlık, Uyuşmazlık
disappoint v. B2 | Hayal Kırıklığına Uğratmak, Üzmek
disappointment n. B2 | Hayal Kırıklığı, Üzüntü
disastrous adj. C1 | Felaket, Yıkıcı
discard v. C1 | Atmak, Reddetmek
discharge v. C1 | Tahliye Etmek, Taburcu Etmek
disclose v. C1 | Açıklamak, Ortaya Koymak
disclosure n. C1 | Açıklama, İfşa
discourage v. B2 | Cesaretini Kırmak, Vazgeçirmek
discourse n. C1 | Söylem, Konuşma
discretion n. C1 | Takdir, İhtiyat
discrimination n. C1 | Ayırımcılık, Ayrımcı Tutum
dismissal n. C1 | İşten Çıkarma, Kovma
disorder n. B2 | Düzensizlik, Karmaşa
displace v. C1 | Yerinden Etmek, Sürmek
disposal n. C1 | Bertaraf, Kullanma
dispose v. C1 | El Koymak, Yerleştirmek
dispute n., v. C1 | Anlaşmazlık, Tartışma
disrupt v. C1 | Bozmak, Araya Girmek
disruption n. C1 | Bozulma, Kesinti
dissolve v. C1 | Eriyip Kaybolmak, Çözülmek
distant adj. B2 | Uzak, Mesafeli
distinct adj. B2 | Farklı, Belirgin
distinction n. C1 | Ayırım, Fark
distinctive adj. C1 | Ayırt Edici, Kendine Has
distinguish v. B2 | Ayırt Etmek, Farkı Görmek
distort v. C1 | Saptırmak, Bozmak
distract v. B2 | Dikkatini Dağıtmak, Rahatsız Etmek
distress n., v. C1 | Sıkıntı, Acı | Sıkıntı Vermek, Üzmek
disturb v. B2 | Rahatsız Etmek, Bozmak
disturbing adj. C1 | Rahatsız Edici, Huzursuzluk Veren
dive v., n. B2 | Dalış Yapmak, Dalma
diverse adj. B2 | Farklı, Çeşitli
diversity n. B2 | Çeşitlilik, Farklılık
divert v. C1 | Yönlendirmek, Saptırmak
divine adj. C1 | Kutsal, İlahi
divorce n., v. B2 | Boşanma, Boşanmak
doctrine n. C1 | Doktrin, İlke
documentation n. C1 | Belgelendirme, Belgeler
domain n. C1 | Alan, Etki Alanı
dominance n. C1 | Egemenlik, Hakimiyet
dominant adj. B2 | Hakim, Egemen
donation n. B2 | Bağış, Hibe
donor n. C1 | Bağışçı, Donör
dose n. C1 | Doz, Miktar
dot n. B2 | Nokta, Benek
drain v. C1 | Boşaltmak, Kurutmak
dramatically adv. B2 | Dramatik Bir Şekilde, Büyük Bir Biçimde
drift v. C1 | Sürüklenmek, Akıntı
driving adj. C1 | Sürüş, Sürme
drought n. B2 | Kuraklık, Kıtlık
drown v. C1 | Boğulmak, Suda Boğmak
dual adj. C1 | Çift, İkili
dub v. C1 | Lakap Takmak, Dublaj Yapmak
dull adj. B2 | Donuk, Sıkıcı
dumb adj. C1 | Aptal, Sessiz
dump v. B2 | Dökmek, Çöplüğe Atmak
duo n. C1 | İkilisi, İkili
duration n. B2 | Süre, Devam Etme
dynamic adj. B2, n. C1 | Dinamik, Enerjik | Dinamizm, Enerji
eager adj. B2 | Hevesli, İstekli
earnings n. C1 | Kazanç, Gelir
ease n., v. C1 | Kolaylık, Rahatlık | Kolaylaştırmak, Hafifletmek
echo v., n. C1 | Yankılanmak, Yankı
ecological adj. C1 | Ekolojik, Çevresel
economics n. B2 | Ekonomi, İktisat
economist n. B2 | Ekonomist, İktisatçı
editorial adj. B2 | Editöryel, Yazı İşleriyle İlgili
educator n. C1 | Eğitimci, Öğretmen
effectiveness n. C1 | Etkililik, Verimlilik
efficiency n. C1 | Verimlilik, Etkililik
efficiently adv. B2 | Verimli Bir Şekilde, Etkin Bir Biçimde
ego n. C1 | Ego, Benlik
elaborate adj. C1 | Ayrıntılı, Detaylı
elbow n. B2 | Dirsek, Diri
electoral adj. C1 | Seçimle İlgili, Seçimlere Ait
electronics n. B2 | Elektronik, Elektronik Cihazlar
elegant adj. B2 | Zarif, Şık
elementary adj. B2 | İlkokul, Temel
elevate v. C1 | Yükseltmek, Kaldırmak
eligible adj. C1 | Uygun, Hak Kazanmış
eliminate v. B2 | Ortadan Kaldırmak, Yok Etmek
elite n. C1 | Seçkin, Elit
embark v. C1 | Gemiye Binmek, Başlamak
embarrassment n. C1 | Utanç, Sıkıntı
embassy n. C1 | Elçilik, Büyükelçilik
embed v. C1 | Gömmek, İçine Gömmek
embody v. C1 | Temsil Etmek, Somutlaştırmak
embrace v. B2 | Kucaklamak, Sarılmak
emergence n. C1 | Ortaya Çıkma, Belirginleşme
emission n. B2 | Emisyon, Salınım
emotionally adv. B2 | Duygusal Olarak, Hissi
empire n. B2 | İmparatorluk, Devlet
empirical adj. C1 | Deneysel, Gözlemsel
empower v. C1 | Yetki Vermek, Güçlendirmek
enact v. C1 | Yasalaştırmak, Kanunlaştırmak
encompass v. C1 | Kapsamak, Sarmak
encouragement n. C1 | Teşvik, Cesaretlendirme
encouraging adj. C1 | Teşvik Edici, Cesaretlendirici
endeavor n. C1 | Çaba, Gayret
endless adj. C1 | Sonsuz, Sınırsız
